State	ELEC.GEN.ALL-US-99.A	ELEC.GEN.ALL	Source	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
North Dakota	ELEC.GEN.AOR-ND-99.A	ELEC.GEN.AOR	All Other Renewables	220	230	373	634	1706	3009	4108	5245	5280	5524
North Dakota	ELEC.GEN.WND-ND-99.A	ELEC.GEN.WND	Wind	215	220	369	621	1693	2998	4096	5236	5275	5519
North Dakota	ELEC.GEN.SUN-ND-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	--	--	--	--
North Dakota	ELEC.GEN.GEO-ND-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
North Dakota	ELEC.GEN.BIO-ND-99.A	ELEC.GEN.BIO	Biomass (total)	6	10	4	14	13	12	12	10	6	5
North Dakota	ELEC.GEN.WWW-ND-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	--	--	--	--	--	--	--	--	--	--
North Dakota	ELEC.GEN.WAS-ND-99.A	ELEC.GEN.WAS	Other biomass	6	10	4	14	13	12	12	10	6	5
South Dakota	ELEC.GEN.ALL-SD-99.A	ELEC.GEN.ALL	General
South Dakota	ELEC.GEN.HYC-SD-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	3598	3075	3397	2917	2993	4432	5239	6608	5981	4063
South Dakota	ELEC.GEN.AOR-SD-99.A	ELEC.GEN.AOR	All Other Renewables	158	158	149	150	147	427	1372	2668	2915	2688
South Dakota	ELEC.GEN.WND-SD-99.A	ELEC.GEN.WND	Wind	158	158	149	150	145	421	1372	2668	2915	2688
South Dakota	ELEC.GEN.SUN-SD-99.A	ELEC.GEN.SUN	Solar	--	--	--	--	--	--	--	--	--	--
South Dakota	ELEC.GEN.GEO-SD-99.A	ELEC.GEN.GEO	Geothermal	--	--	--	--	--	--	--	--	--	--
South Dakota	ELEC.GEN.BIO-SD-99.A	ELEC.GEN.BIO	Biomass (total)	--	--	--	--	2	6	0	0	0	0
South Dakota	ELEC.GEN.WWW-SD-99.A	ELEC.GEN.WWW	Wood and wood-derived fuels	--	--	--	--	--	--	--	--	--	--
South Dakota	ELEC.GEN.WAS-SD-99.A	ELEC.GEN.WAS	Other biomass	--	--	--	--	2	6	0	0	0	0
South Atlantic	ELEC.GEN.ALL-SAT-99.A	ELEC.GEN.ALL	General
Delaware	ELEC.GEN.ALL-DE-99.A	ELEC.GEN.ALL	General
Delaware	ELEC.GEN.HYC-DE-99.A	ELEC.GEN.HYC	Conventional Hydroelectric	--	--	--	--	--	--	--	--	--	--
Delaware	ELEC.GEN.AOR-DE-99.A	ELEC.GEN.AOR	All Other Renewables	--	--	0	48	163	126	138	158	131	107
Delaware	ELEC.GEN.WND-DE-99.A	ELEC.GEN.WND	Wind	--	--	--	--	--	--	3	5	4	4
